player_id,player_name,season,gp,ppg,ts_pct,headshot_path,headshot_available
1630590,S. Pippen Jr.,2025,79,9.8608,0.572137,analytics/images/nba/headshots/1630590.png,1
1641733,N. Smith Jr.,2025,60,9.85,0.466255,analytics/images/nba/headshots/1641733.png,1
1642267,B. Carrington,2025,82,9.8415,0.502035,analytics/images/nba/headshots/1642267.png,1
1630541,M. Moody,2025,74,9.7838,0.571449,analytics/images/nba/headshots/1630541.png,1
1629599,A. Coffey,2025,72,9.6667,0.592467,analytics/images/nba/headshots/1629599.png,1
1631108,M. Christie,2025,78,9.6026,0.596512,analytics/images/nba/headshots/1631108.png,1
1642271,K. Filipowski,2025,72,9.5833,0.571142,analytics/images/nba/headshots/1642271.png,1
1630540,M. McBride,2025,64,9.5469,0.525856,analytics/images/nba/headshots/1630540.png,1
1641787,T. Evbuomwan,2025,28,9.5357,0.519446,,0
1630592,J. Wilson,2025,79,9.481,0.547447,analytics/images/nba/headshots/1630592.png,1
1641710,A. Black,2025,78,9.4359,0.498173,analytics/images/nba/headshots/1641710.png,1
1641774,T. Vukcevic,2025,35,9.4286,0.593946,analytics/images/nba/headshots/1641774.png,1
1629638,N. Alexander-Walker,2025,82,9.4268,0.579976,analytics/images/nba/headshots/1629638.png,1
1629622,M. Strus,2025,50,9.42,0.58922,analytics/images/nba/headshots/1629622.png,1
1630175,C. Anthony,2025,67,9.403,0.507433,analytics/images/nba/headshots/1630175.png,1
1641715,C. Whitmore,2025,51,9.3529,0.498055,analytics/images/nba/headshots/1641715.png,1
1642276,K. Ware,2025,64,9.2969,0.570244,analytics/images/nba/headshots/1642276.png,1
1630208,N. Richards,2025,57,9.2807,0.60527,analytics/images/nba/headshots/1630208.png,1
1641744,Z. Edey,2025,66,9.2424,0.633852,analytics/images/nba/headshots/1641744.png,1
1641730,N. Clowney,2025,46,9.1304,0.489065,analytics/images/nba/headshots/1641730.png,1
204456,T. McConnell,2025,79,9.1139,0.539504,analytics/images/nba/headshots/204456.png,1
1642274,Y. Missi,2025,73,9.1096,0.549955,analytics/images/nba/headshots/1642274.png,1
1628976,W. Carter Jr.,2025,68,9.0882,0.544015,analytics/images/nba/headshots/1628976.png,1
1630639,A. Lawson,2025,26,9.0769,0.503027,,0
1626220,R. O'Neale,2025,75,9.0667,0.567384,analytics/images/nba/headshots/1626220.png,1
1642261,D. Knecht,2025,78,9.0513,0.5695,analytics/images/nba/headshots/1642261.png,1
1631124,J. Strawther,2025,65,9.0462,0.538783,analytics/images/nba/headshots/1631124.png,1
1630215,J. Butler,2025,60,9.0167,0.525453,analytics/images/nba/headshots/1630215.png,1
203110,D. Green,2025,68,9.0147,0.513428,analytics/images/nba/headshots/203110.png,1
1630165,K. Hayes,2025,6,9.0,0.5059,analytics/images/nba/headshots/1630165.png,1
1630172,P. Williams,2025,63,8.9841,0.50443,analytics/images/nba/headshots/1630172.png,1
203935,M. Smart,2025,34,8.9706,0.510994,analytics/images/nba/headshots/203935.png,1
201143,A. Horford,2025,60,8.9667,0.54262,analytics/images/nba/headshots/201143.png,1
1630548,J. Juzang,2025,64,8.9219,0.534952,analytics/images/nba/headshots/1630548.png,1
203994,J. Nurkić,2025,51,8.8824,0.544108,analytics/images/nba/headshots/203994.png,1
203991,C. Capela,2025,55,8.8727,0.56174,analytics/images/nba/headshots/203991.png,1
1628379,L. Kennard,2025,65,8.8615,0.556777,analytics/images/nba/headshots/1628379.png,1
101108,C. Paul,2025,82,8.8171,0.593484,analytics/images/nba/headshots/101108.png,1
1629004,S. Mykhailiuk,2025,38,8.7895,0.492703,analytics/images/nba/headshots/1629004.png,1
1630551,J. Champagnie,2025,62,8.7742,0.504777,analytics/images/nba/headshots/1630551.png,1
203484,K. Caldwell-Pope,2025,77,8.7403,0.543378,analytics/images/nba/headshots/203484.png,1
203482,K. Olynyk,2025,44,8.7273,0.609825,analytics/images/nba/headshots/203482.png,1
1641726,D. Lively II,2025,36,8.7222,0.709336,analytics/images/nba/headshots/1641726.png,1
1631213,T. Martin,2025,60,8.7167,0.50063,analytics/images/nba/headshots/1631213.png,1
1627827,D. Finney-Smith,2025,63,8.7143,0.581019,analytics/images/nba/headshots/1627827.png,1
1630702,J. Hardy,2025,57,8.7018,0.466993,analytics/images/nba/headshots/1630702.png,1
203957,D. Exum,2025,20,8.7,0.569895,analytics/images/nba/headshots/203957.png,1
1642273,K. George,2025,68,8.6765,0.472196,analytics/images/nba/headshots/1642273.png,1
1629052,O. Brissett,2025,6,8.6667,0.52435,analytics/images/nba/headshots/1629052.png,1
1642268,I. Collier,2025,71,8.662,0.462648,analytics/images/nba/headshots/1642268.png,1
1631170,J. Jaquez Jr.,2025,66,8.6364,0.511326,analytics/images/nba/headshots/1631170.png,1
1642266,J. Walter,2025,52,8.6346,0.499992,analytics/images/nba/headshots/1642266.png,1
1641824,M. Buzelis,2025,80,8.6,0.534196,analytics/images/nba/headshots/1641824.png,1
1630573,S. Hauser,2025,71,8.5211,0.61913,analytics/images/nba/headshots/1630573.png,1
1626204,L. Nance Jr.,2025,24,8.4583,0.581788,analytics/images/nba/headshots/1626204.png,1
1631197,J. Rhoden,2025,14,8.4286,0.460471,,0
1629669,J. Nowell,2025,8,8.375,0.385188,analytics/images/nba/headshots/1629669.png,1
1641717,C. Wallace,2025,68,8.3529,0.552297,analytics/images/nba/headshots/1641717.png,1
1629634,B. Clarke,2025,64,8.3438,0.612252,analytics/images/nba/headshots/1629634.png,1
1630625,D. Banton,2025,67,8.3433,0.424776,analytics/images/nba/headshots/1630625.png,1
1630314,B. Williams,2025,33,8.3333,0.534782,analytics/images/nba/headshots/1630314.png,1
1631165,K. Ellis,2025,80,8.325,0.64822,analytics/images/nba/headshots/1631165.png,1
1628971,B. Brown,2025,41,8.2927,0.4415,analytics/images/nba/headshots/1628971.png,1
1627752,T. Prince,2025,80,8.2,0.602875,analytics/images/nba/headshots/1627752.png,1
201144,M. Conley,2025,71,8.1972,0.564599,analytics/images/nba/headshots/201144.png,1
1630188,J. Smith,2025,64,8.1875,0.567014,analytics/images/nba/headshots/1630188.png,1
1631212,P. Watson,2025,68,8.1029,0.536191,analytics/images/nba/headshots/1631212.png,1
1642366,Q. Post,2025,42,8.0952,0.54506,analytics/images/nba/headshots/1642366.png,1
1630558,D. Mitchell,2025,74,7.9459,0.545778,analytics/images/nba/headshots/1630558.png,1
1630549,D. Sharpe,2025,50,7.94,0.563488,analytics/images/nba/headshots/1630549.png,1
1628997,C. Martin,2025,45,7.9111,0.514049,analytics/images/nba/headshots/1628997.png,1
1630623,T. Etienne,2025,7,7.8571,0.485286,,0
1642354,K. Simpson,2025,36,7.8333,0.407381,analytics/images/nba/headshots/1642354.png,1
1631255,K. Matković,2025,42,7.7381,0.557321,analytics/images/nba/headshots/1631255.png,1
1629611,T. Mann,2025,67,7.7164,0.557633,analytics/images/nba/headshots/1629611.png,1
1631131,O. Tshiebwe,2025,14,7.6429,0.667814,,0
1628366,L. Ball,2025,35,7.6286,0.553669,analytics/images/nba/headshots/1628366.png,1
1642358,A. Johnson,2025,29,7.5862,0.465445,,0
1629726,G. Mathews,2025,47,7.5106,0.542974,analytics/images/nba/headshots/1629726.png,1
1629680,M. Thybulle,2025,15,7.4667,0.53856,analytics/images/nba/headshots/1629680.png,1
1630182,J. Green,2025,68,7.4412,0.524368,analytics/images/nba/headshots/1630182.png,1
1626158,R. Holmes,2025,31,7.4194,0.636071,analytics/images/nba/headshots/1626158.png,1
1631260,A. Green,2025,73,7.411,0.597512,analytics/images/nba/headshots/1631260.png,1
203083,A. Drummond,2025,40,7.325,0.531728,analytics/images/nba/headshots/203083.png,1
1641741,R. Council IV,2025,73,7.2877,0.448284,analytics/images/nba/headshots/1641741.png,1
1641878,D. Baugh,2025,15,7.2667,0.411,,0
202692,A. Burks,2025,49,7.2653,0.550053,analytics/images/nba/headshots/202692.png,1
1630249,V. Krejčí,2025,57,7.2281,0.610746,analytics/images/nba/headshots/1630249.png,1
1641713,G. Jackson,2025,29,7.2069,0.458166,analytics/images/nba/headshots/1641713.png,1
1641783,T. da Silva,2025,74,7.2027,0.486757,analytics/images/nba/headshots/1641783.png,1
1641772,N. Tomlin,2025,5,7.2,0.5034,,0
1630200,T. Jones,2025,46,7.1739,0.603496,analytics/images/nba/headshots/1630200.png,1
1629048,G. Bitadze,2025,70,7.1714,0.599151,analytics/images/nba/headshots/1629048.png,1
1630241,S. Merrill,2025,71,7.169,0.560732,analytics/images/nba/headshots/1630241.png,1
1631342,D. Plowden,2025,6,7.1667,0.543983,,0
1642347,J. Shead,2025,75,7.1067,0.507003,analytics/images/nba/headshots/1642347.png,1
1642419,J. Battle,2025,59,7.1017,0.560061,analytics/images/nba/headshots/1642419.png,1
1629006,J. Okogie,2025,40,7.075,0.534235,analytics/images/nba/headshots/1629006.png,1
1627936,A. Caruso,2025,54,7.0741,0.52765,analytics/images/nba/headshots/1627936.png,1
1641720,J. Hood-Schifino,2025,15,7.0667,0.453887,,0
1631301,J. Sims,2025,6,7.0,0.714767,,0
1630543,I. Jackson,2025,5,7.0,0.71368,analytics/images/nba/headshots/1630543.png,1
1630585,M. Garrett,2025,4,7.0,0.48705,,0
1630288,J. Dowtin Jr.,2025,41,6.9512,0.489595,,0
1626166,C. Payne,2025,72,6.9444,0.48355,analytics/images/nba/headshots/1626166.png,1
1631222,J. LaRavia,2025,66,6.9394,0.560185,analytics/images/nba/headshots/1631222.png,1
1641810,A. Reeves,2025,44,6.9318,0.567214,,0
1642346,R. Dunn,2025,74,6.9054,0.456423,analytics/images/nba/headshots/1642346.png,1
